location,lat,long,alt,year,bloom_date,bloom_doy,month,tempmax,tempmin,temp,dew,humidity,precip,snow,windspeed,moonphase,solarradiation,daytime
liestal,47.4814,7.730519,350,1981,02-04-1981,92,4,45.76887417,31.5013245,38.35165563,31.6602649,78.27748344,0.043761589,0,12.50264901,0.518741722,0,38338.36424
liestal,47.4814,7.730519,350,1982,18-04-1982,108,4,45.34039735,30.58675497,37.65827815,30.52384106,77.82384106,0.066887417,0,13.29933775,0.5,0,38305.17881
liestal,47.4814,7.730519,350,1983,11-04-1983,101,4,47.60331126,33.28874172,40.34370861,34.4781457,80.87549669,0.05292053,0,14.44966887,0.50384106,0,38272.25828
liestal,47.4814,7.730519,350,1984,19-04-1984,110,4,45.79407895,30.525,37.83486842,30.37960526,76.64934211,0.045519737,0,12.90986842,0.517105263,0,38329.64474
liestal,47.4814,7.730519,350,1985,16-04-1985,106,4,43.40860927,28.55231788,35.71456954,29.44701987,79.81655629,0.042788079,0,11.56556291,0.482317881,0,38341.68874
liestal,47.4814,7.730519,350,1986,01-05-1986,121,5,43.26688742,29.68543046,36.09337748,30.65960265,81.73377483,0.066682119,0,12.98675497,0.496622517,0,38308.81457
liestal,47.4814,7.730519,350,1987,22-04-1987,112,4,44.01589404,30.17350993,36.90728477,30.35761589,78.87284768,0.037754967,0,12.12913907,0.488211921,0,38276.29139
liestal,47.4814,7.730519,350,1988,17-04-1988,108,4,47.75263158,34.14802632,40.65592105,34.65394737,80.40328947,0.051052632,0,13.43947368,0.498092105,0,38334
liestal,47.4814,7.730519,350,1989,28-03-1989,87,3,47.95827815,33.49801325,40.59602649,34.25298013,79.51192053,0.04518543,0,12.96754967,0.512251656,0,38346.48344
liestal,47.4814,7.730519,350,1990,16-03-1990,75,3,49.24834437,33.53708609,41.00198675,32.22980132,73.00596026,0.045119205,0,14.29668874,0.500728477,0,38313.9404
liestal,47.4814,7.730519,350,1991,04-04-1991,94,4,44.50198675,31.84701987,38.06357616,31.02582781,77.40264901,0.041059603,0,10.46490066,0.512913907,0,38281.53642
liestal,47.4814,7.730519,350,1992,12-04-1992,101,4,44.96710526,31.71315789,38.08815789,31.05,77.56315789,0.063032895,0,10.84868421,0.518289474,0,38339.32895
liestal,47.4814,7.730519,350,1993,11-04-1993,101,4,47.80066225,33.06754967,39.98675497,32.28410596,76.33443709,0.039410596,0,11.29139073,0.496556291,0,38351.82781
liestal,47.4814,7.730519,350,1994,23-03-1994,82,3,49.48145695,35.15099338,41.8794702,35.44701987,79.30529801,0.065271523,0,14.21456954,0.491456954,0,38319.13907
liestal,47.4814,7.730519,350,1995,04-03-1995,93,3,47.82913907,33.21258278,40.4807947,33.96688742,78.96821192,0.086596026,0,13.72781457,0.490331126,0,38286.45033
liestal,47.4814,7.730519,350,1996,18-04-1996,109,4,44.20723684,30.36578947,36.83092105,30.46973684,79.92894737,0.03925,0,9.401315789,0.491644737,0,38343.98026
liestal,47.4814,7.730519,350,1997,22-03-1997,81,3,47.19337748,30.71655629,38.62516556,31.68675497,78.83443709,0.036403974,0,10.63112583,0.506887417,0,38356.07285
liestal,47.4814,7.730519,350,1998,31-03-1998,90,3,9.525827815,0.468211921,4.725827815,1.090066225,79.54701987,1.164602649,0,18.64966887,0.495165563,0,38322.92053
liestal,47.4814,7.730519,350,1999,04-04-1999,94,4,8.19602649,-0.304635762,3.925827815,0.786754967,80.72847682,1.081576159,0,18.95099338,0.514503311,0,38289.90066
